family,stage,series_code,size,ratio_nominal,ratio_actual,t2n_nm
RKB,2,RKB2,16,9.0,9.19,147000
RKB,2,RKB2,17,9.0,8.662,193000
RKB,2,RKB2,18,9.0,9.25,228000
RKB,2,RKB2,4,10.0,9.872,6100
RKB,2,RKB2,5,10.0,10.108,9300
RKB,2,RKB2,6,10.0,9.49,11900
RKB,2,RKB2,7,10.0,9.823,18800
RKB,2,RKB2,8,10.0,9.935,23600
RKB,2,RKB2,9,10.0,10.099,29600
RKB,2,RKB2,10,10.0,10.157,37600
RKB,2,RKB2,11,10.0,9.965,53500
RKB,2,RKB2,12,10.0,10.164,65600
RKB,2,RKB2,13,10.0,10.108,80300
RKB,2,RKB2,14,10.0,10.049,97800
RKB,2,RKB2,15,10.0,10.099,131000
RKB,2,RKB2,16,10.0,9.993,147000
RKB,2,RKB2,17,10.0,9.93,193000
RKB,2,RKB2,18,10.0,10.059,228000
RKB,2,RKB2,4,11.2,10.769,6100
RKB,2,RKB2,5,11.2,10.923,9300
RKB,2,RKB2,6,11.2,10.928,11900
RKB,2,RKB2,7,11.2,10.615,18800
RKB,2,RKB2,8,11.2,10.804,23600
RKB,2,RKB2,9,11.2,10.914,29600
RKB,2,RKB2,10,11.2,11.045,37600
RKB,2,RKB2,11,11.2,10.769,53500
RKB,2,RKB2,12,11.2,11.052,65600
RKB,2,RKB2,13,11.2,10.923,80300
RKB,2,RKB2,14,11.2,10.928,100000
RKB,2,RKB2,15,11.2,10.914,131000
RKB,2,RKB2,16,11.2,11.456,147000
RKB,2,RKB2,17,11.2,10.731,193000
RKB,2,RKB2,18,11.2,11.531,228000
RKB,2,RKB2,4,12.5,12.034,5400
RKB,2,RKB2,5,12.5,12.703,9300
RKB,2,RKB2,6,12.5,12.528,11900
RKB,2,RKB2,7,12.5,12.433,16800
RKB,2,RKB2,8,12.5,12.385,23600
RKB,2,RKB2,9,12.5,12.554,27700
RKB,2,RKB2,10,12.5,12.662,37600
RKB,2,RKB2,11,12.5,12.334,51900
RKB,2,RKB2,12,12.5,12.67,65600
RKB,2,RKB2,13,12.5,12.482,78700
RKB,2,RKB2,14,12.5,12.528,100000
RKB,2,RKB2,15,12.5,12.172,136000
