series_code,size,dim_letter,value
RKH3,6,D4,110
RKH3,6,G4,165
RKH3,6,G5,240
RKH3,7,a,495
RKH3,7,b,605
RKH3,7,c,130
RKH3,7,A1,114
RKH3,7,A2,280
RKH3,7,A3,120
RKH3,7,A4,622
RKH3,7,B1,260
RKH3,7,B2,120
RKH3,7,c1,560
RKH3,7,d6,215
RKH3,7,D5,24
RKH3,7,h,210
RKH3,7,H,195
RKH3,7,s,550
RKH3,7,h5,115 H7
RKH3,7,m1,195
RKH3,7,m3,120 H7
RKH3,7,n1,120
RKH3,7,n2,195
RKH3,7,n3,280
RKH3,7,n4,28
RKH3,7,d2,120
RKH3,7,G2,195
RKH3,7,l2,210
RKH3,7,D2,115 H7
RKH3,7,D3,120 H7
RKH3,7,D4,120
RKH3,7,G4,195
RKH3,7,G5,280
RKH3,8,a,540
RKH3,8,b,710
RKH3,8,c,190
RKH3,8,A1,114
RKH3,8,A2,280
RKH3,8,A3,110
RKH3,8,A4,622
RKH3,8,B1,260
RKH3,8,B2,120
RKH3,8,c1,605
RKH3,8,d6,215
RKH3,8,D5,24
RKH3,8,h,250
RKH3,8,H,195
RKH3,8,s,637
RKH3,8,h5,125 H7
RKH3,8,m1,195
RKH3,8,m3,130 H7
RKH3,8,n1,130
RKH3,8,n2,195
RKH3,8,n3,285
RKH3,8,n4,30
RKH3,8,d2,130
RKH3,8,G2,195
RKH3,8,l2,250
RKH3,8,D2,125 H7
RKH3,8,D3,130 H7
RKH3,8,D4,130
RKH3,8,G4,195
RKH3,8,G5,285
RKH3,9,a,580
RKH3,9,b,710
RKH3,9,c,155
RKH3,9,A1,140
RKH3,9,A2,320
RKH3,9,A3,135
RKH3,9,A4,712
RKH3,9,B1,320
RKH3,9,B2,145
RKH3,9,c1,660
RKH3,9,d6,245
RKH3,9,D5,28
RKH3,9,h,320
RKH3,9,H,712
RKH3,9,s,28
RKH3,9,h5,135 H7
RKH3,9,m1,235
RKH3,9,m3,140 H7
RKH3,9,n1,145
RKH3,9,n2,235
RKH3,9,n3,330
RKH3,9,n4,45
RKH3,9,d2,140
RKH3,9,G2,235
RKH3,9,l2,250
RKH3,9,D2,135 H7
RKH3,9,D3,140 H7
RKH3,9,D4,145
RKH3,9,G4,235
RKH3,9,G5,330
RKH3,10,a,1100
RKH3,10,b,370
RKH3,10,c,40
RKH3,10,A1,140
RKH3,10,A2,320
RKH3,10,A3,135
RKH3,10,A4,712
RKH3,10,B1,320
RKH3,10,B2,145
RKH3,10,c1,710
RKH3,10,d6,245
RKH3,10,D5,28
RKH3,10,h,320
RKH3,10,H,712
RKH3,10,s,28
RKH3,10,h5,135
RKH3,10,m1,810
RKH3,10,m3,320
RKH3,10,n1,145
RKH3,10,n2,205
RKH3,10,n3,710
RKH3,10,n4,245
RKH3,10,d2,160
RKH3,10,G2,235
RKH3,10,l2,300
RKH3,10,D2,150 H7
RKH3,10,D3,150 H7
RKH3,10,D4,155
RKH3,10,G4,235
RKH3,10,G5,350
RKH3,11,a,1200
RKH3,11,b,430
RKH3,11,c,50
RKH3,11,A1,218
RKH3,11,A2,220
RKH3,11,A3,255
RKH3,11,A4,150
RKH3,11,B1,325
RKH3,11,B2,280
RKH3,11,c1,54±1.5
RKH3,11,d6,100
RKH3,11,D5,40 H9
RKH3,11,h,380
RKH3,11,H,832
RKH3,11,s,35
RKH3,11,h5,130
RKH3,11,m1,870
RKH3,11,m3,370
RKH3,11,n1,165
RKH3,11,n2,180
RKH3,11,n3,805
RKH3,11,n4,300
RKH3,11,d2,170
RKH3,11,G2,270
RKH3,11,l2,300
RKH3,11,D2,165 H7
RKH3,11,D3,165 H7
RKH3,11,D4,170
RKH3,11,G4,270
RKH3,11,G5,400
RKH3,12,a,1355
RKH3,12,b,430
RKH3,12,c,50
RKH3,12,A1,218
RKH3,12,A2,220
RKH3,12,A3,255
RKH3,12,A4,150
RKH3,12,B1,325
RKH3,12,B2,280
RKH3,12,c1,54±1.5
RKH3,12,d6,100
RKH3,12,D5,40 H9
RKH3,12,h,380
RKH3,12,H,832
RKH3,12,s,35
RKH3,12,h5,120
RKH3,12,m1,1025
RKH3,12,m3,370
RKH3,12,n1,165
RKH3,12,n2,265
RKH3,12,n3,875
RKH3,12,n4,300
RKH3,12,d2,180
RKH3,12,G2,270
RKH3,12,l2,300
RKH3,12,D2,180 H7
RKH3,12,D3,180 H7
RKH3,12,D4,185
RKH3,12,G4,270
RKH3,12,G5,405
RKH3,13,a,211.5
RKH3,13,c,475
RKH3,13,b,950
RKH3,13,E,35
RKH3,13,A1,440
RKH3,13,B2,597.5
RKH3,13,B1,597.5
RKH3,13,A3,460
RKH3,13,A2,450
RKH3,13,c1,100
RKH3,13,d6,305
RKH3,13,D5,940
RKH3,13,e2,340
RKH3,13,h,335
RKH3,13,H,335
RKH3,13,s,2198
RKH3,13,m2,195
RKH3,13,m3,335
